"user_id","mismatch_count","mismatched_fields","evidence_standard_met_expected","evidence_standard_met_predicted","evidence_standard_met_reason_expected","evidence_standard_met_reason_predicted","risk_flags_expected","risk_flags_predicted","issue_type_expected","issue_type_predicted","object_part_expected","object_part_predicted","claim_status_expected","claim_status_predicted","claim_status_justification_expected","claim_status_justification_predicted","supporting_image_ids_expected","supporting_image_ids_predicted","valid_image_expected","valid_image_predicted","severity_expected","severity_predicted"
"user_002","5","evidence_standard_met_reason;issue_type;claim_status_justification;supporting_image_ids;severity","false","false","The close-up image shows front-end damage, but the full-view image appears to show a different car, so the image set does not satisfy vehicle identity evidence.","Submitted images do not consistently show the same claimed object.","wrong_object;claim_mismatch;manual_review_required","claim_mismatch;manual_review_required;wrong_object","broken_part","dent","front_bumper","front_bumper","not_enough_information","not_enough_information","The submitted images do not reliably support the claim because the damaged close-up and the full vehicle view appear to be from different cars.","The provided images show two completely different physical objects (img_1 shows a heavily damaged hatchback/sedan front end with a severe dent and broken light, while img_2 shows an undamaged luxury sedan front end). Due to wrong object mismatch across images, the visual claim status is not_enough_information.","img_1;img_2","none","true","true","unknown","high"
"user_007","4","evidence_standard_met_reason;issue_type;claim_status_justification;severity","true","true","The side mirror is visible and appears broken or missing.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_CAR_GLASS_LIGHT_MIRROR, REQ_REVIEW_TRUST.","none","none","broken_part","glass_shatter","side_mirror","side_mirror","supported","supported","The submitted image directly shows damage to the claimed side mirror.","Image img_1 clearly shows the claimed side_mirror with significant glass_shatter damage.","img_1","img_1","true","true","medium","high"
"user_009","4","evidence_standard_met_reason;issue_type;claim_status_justification;severity","true","true","The laptop screen is visible and the crack pattern can be verified.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD, REQ_REVIEW_TRUST.","none","none","crack","glass_shatter","screen","screen","supported","supported","The image directly shows a crack on the laptop screen.","Image img_1 clearly shows severe glass shattering and cracking on the laptop screen, supporting the user's claim.","img_1","img_1","true","true","medium","high"
"user_018","4","evidence_standard_met_reason;issue_type;claim_status_justification;severity","true","true","The laptop screen is visible and the crack pattern can be verified from the submitted image.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD, REQ_REVIEW_TRUST.","none","none","crack","glass_shatter","screen","screen","supported","supported","The image supports the claim because the laptop screen has visible cracking consistent with the user's screen damage report.","Image img_1 clearly shows significant glass shattering and cracking across the laptop screen, supporting the user's claim of screen damage.","img_1","img_1","true","true","medium","high"
"user_001","3","evidence_standard_met_reason;claim_status_justification;severity","true","true","The rear bumper is visible and the dent can be verified from the submitted image.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_CAR_BODY_PANEL, REQ_REVIEW_TRUST.","none","none","dent","dent","rear_bumper","rear_bumper","supported","supported","The image clearly shows a dent on the rear bumper and the user history does not add risk.","Image img_1 clearly shows significant denting and severe damage to the rear bumper and trunk area of the car, supporting the customer's claim.","img_1","img_1","true","true","medium","high"
"user_006","3","evidence_standard_met_reason;risk_flags;claim_status_justification","false","false","The image does not show the headlight, so the claimed crack cannot be verified.","REQ_GENERAL_OBJECT_PART requires at least 1 supporting image(s), but 0 provided (The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.). REQ_REVIEW_TRUST requires at least 1 supporting image(s), but 0 provided (The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object.).","wrong_angle;damage_not_visible","damage_not_visible;low_light_or_glare;wrong_angle","unknown","unknown","headlight","headlight","not_enough_information","not_enough_information","The submitted image shows another part of the car and does not provide evidence for the headlight claim.","The image shows the side of a car parked on a road with severe glare from the sun, and the claimed headlight is not visible in img_1, making it impossible to verify the claim.","none","none","true","true","unknown","unknown"
"user_011","3","evidence_standard_met_reason;issue_type;claim_status_justification","true","true","The keyboard area is visible and shows a stain consistent with liquid damage.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD, REQ_REVIEW_TRUST.","none","none","stain","water_damage","keyboard","keyboard","supported","supported","The submitted image shows visible staining on the keyboard area.","Image img_1 clearly shows liquid pooling across the laptop keyboard and surrounding area, supporting the user claim of water damage.","img_1","img_1","true","true","medium","medium"
"user_012","3","evidence_standard_met_reason;claim_status_justification;severity","true","true","The second image shows a close-up of the damaged laptop corner.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_LAPTOP_BODY_HINGE_PORT, REQ_REVIEW_TRUST, REQ_GENERAL_MULTI_IMAGE.","none","none","dent","dent","corner","corner","supported","supported","The image set supports the claim because the corner dent is visible in the close-up.","Image img_2 clearly shows a dent located near the corner of the laptop lid, supporting the user's claim.","img_2","img_2","true","true","low","medium"
"user_015","2","evidence_standard_met_reason;claim_status_justification","true","true","The package corner is visible and visibly crushed.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_PACKAGE_EXTERIOR, REQ_REVIEW_TRUST.","none","none","crushed_packaging","crushed_packaging","package_corner","package_corner","supported","supported","The image directly shows crushing on the claimed package corner.","Image img_1 clearly shows a crushed package corner on the delivery box, matching the customer's stated claim.","img_1","img_1","true","true","medium","medium"
"user_031","2","evidence_standard_met_reason;claim_status_justification","true","true","The package surface is visible and shows staining consistent with water damage.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_PACKAGE_LABEL_OR_STAIN, REQ_REVIEW_TRUST.","user_history_risk;manual_review_required","manual_review_required;user_history_risk","water_damage","water_damage","package_side","package_side","supported","supported","The image supports the water damage claim, but user history shows prior package claims often needed evidence review.","Image img_1 clearly shows a dark, moisture-like stain and dampness on the side of the cardboard package, supporting the customer's claim of water damage.","img_1","img_1","true","true","medium","medium"
